ID,elevation,aspect,slope,hor_hydro,ver_hydro,hor_road,hillsd_9am,hillsd_noon,hillsd_3pm,hor_fire,cover_type,soil,wild,twild
1,2610,259,1,120,1,607,216,239,161,6096,5,29,1,w1
2,3221,79,16,618,20,3968,239,210,96,2868,1,23,1,w1
3,3060,167,18,95,16,3251,232,244,136,5755,2,29,1,w1
4,2873,351,6,201,11,3459,210,230,159,3242,2,12,1,w1
5,2702,90,1,0,0,1727,221,236,151,932,2,20,1,w1
6,2915,81,8,0,0,4345,231,226,128,4260,2,23,1,w1
7,2867,143,12,437,114,3363,237,237,129,2963,2,12,1,w1
8,2676,119,5,0,0,2483,228,235,141,2352,5,16,1,w1
9,2688,120,7,30,3,2644,232,235,136,2227,5,16,1,w1
10,2707,5,18,42,6,1242,195,203,143,2190,5,23,1,w1
11,2998,151,24,124,39,4140,242,231,105,2117,2,30,1,w1
12,2917,317,12,108,10,3522,188,230,181,2435,2,29,1,w1
13,2979,87,5,120,25,5134,227,232,140,2490,1,29,1,w1
14,2679,66,11,108,9,1235,231,217,117,1879,2,23,1,w1
15,3107,293,5,182,12,5568,205,239,173,1132,1,20,1,w1
16,2818,65,19,247,135,270,234,199,89,1618,5,29,1,w1
17,2769,79,31,60,15,175,242,167,31,1411,5,29,1,w1
18,2785,35,17,190,127,201,216,201,116,1323,5,29,1,w1
19,3226,47,8,190,13,6119,223,223,135,800,1,23,1,w1
20,2664,112,5,60,8,1214,229,234,139,1719,5,20,3,w3
21,3264,137,10,283,45,2773,236,236,131,2529,7,29,1,w1
22,2907,91,30,210,7,390,249,178,35,2173,5,30,1,w1
23,2719,64,24,124,70,134,233,184,70,1984,5,30,1,w1
24,2027,272,37,60,26,150,100,222,246,180,3,5,4,w4
25,3372,28,5,0,0,2704,218,230,148,2287,7,38,1,w1
26,3289,81,17,42,6,2280,241,207,90,2787,7,39,1,w1
27,2660,319,37,180,12,1650,102,179,203,1544,6,13,3,w3
28,1992,358,33,228,143,212,151,160,132,750,6,5,4,w4
29,2836,269,10,42,7,1956,195,244,188,1237,5,23,3,w3
30,2083,225,25,255,25,569,178,254,203,1012,6,1,4,w4
31,2005,352,14,309,67,570,194,214,158,771,6,1,4,w4
32,2053,135,2,0,0,984,222,238,151,400,4,17,4,w4
33,2066,325,23,0,0,976,158,209,188,242,4,10,4,w4
34,2004,340,38,108,77,124,117,158,163,708,3,10,4,w4
35,2348,136,13,242,54,937,240,234,121,543,4,6,4,w4
36,2343,233,12,283,49,1173,200,251,187,811,4,6,4,w4
37,2087,145,35,127,78,365,243,210,64,390,3,6,4,w4
38,2214,131,31,228,123,741,252,206,57,180,4,3,4,w4
39,2339,180,1,361,49,67,219,239,157,618,3,2,4,w4
40,2861,190,23,90,18,474,213,250,158,1168,5,13,3,w3
41,2220,326,30,124,67,1114,133,192,191,726,3,10,4,w4
42,2285,106,7,210,23,175,232,232,132,277,4,10,4,w4
43,2119,303,19,60,1,1150,163,227,202,1262,4,17,4,w4
44,2156,185,13,330,158,467,222,249,157,616,3,2,4,w4
45,3062,159,19,417,142,1290,236,240,126,3224,1,29,1,w1
46,2120,308,27,108,62,607,135,211,210,807,6,10,4,w4
47,2359,85,11,404,165,949,236,221,114,1425,4,6,4,w4
48,2089,36,4,0,0,942,220,230,147,741,4,3,4,w4
49,2894,357,10,30,0,780,205,222,155,2701,1,22,1,w1
50,2353,106,21,339,159,918,250,210,79,1431,4,6,4,w4
51,2808,121,22,134,42,2058,251,217,83,1189,5,13,3,w3
52,2205,141,31,42,25,1146,247,214,70,1146,4,3,4,w4
53,2382,134,20,390,185,732,247,227,99,1622,4,6,4,w4
54,2983,26,13,60,7,1926,213,211,132,3850,1,23,1,w1
55,2381,332,20,351,111,870,170,211,178,1050,6,6,4,w4
56,3281,38,11,402,89,960,220,216,130,2197,7,39,1,w1
57,2376,313,22,85,32,361,154,217,200,807,3,10,4,w4
58,2276,95,22,90,35,295,249,202,71,1746,4,3,4,w4
59,2420,326,24,450,62,938,155,206,187,1084,6,10,4,w4
60,2885,305,24,85,28,2563,148,220,209,420,2,33,3,w3
61,2470,190,8,240,36,633,220,247,160,1357,6,6,4,w4
62,2342,136,18,95,35,992,245,230,107,942,3,3,4,w4
63,2336,1,9,42,8,335,207,223,153,1359,6,10,4,w4
64,2906,170,18,300,68,854,230,245,140,2160,5,33,3,w3
65,2485,322,8,30,2,417,200,232,172,474,2,10,4,w4
66,2789,226,20,255,88,765,187,254,198,2040,5,4,3,w3
67,2510,309,20,301,96,127,163,223,199,716,3,10,4,w4
68,2595,2,6,510,34,636,212,229,154,745,5,17,3,w3
69,3075,108,14,30,13,2644,243,223,107,1931,1,31,3,w3
70,2657,168,13,371,129,816,230,245,144,1134,3,2,3,w3
71,2467,33,8,42,5,95,219,223,140,1201,6,10,3,w3
72,3405,47,18,150,10,3302,223,198,103,2314,7,37,1,w1
73,2541,233,23,323,55,872,175,253,208,1057,3,2,3,w3
74,2734,4,16,180,21,2542,198,208,146,376,5,31,3,w3
75,2519,182,20,60,21,1130,222,249,151,1371,3,4,3,w3
76,2782,98,22,190,107,1343,249,202,70,895,5,13,3,w3
77,2615,84,21,190,2,1889,244,199,74,2060,6,11,3,w3
78,3442,177,16,940,93,3421,226,247,148,1087,7,36,3,w3
79,3435,4,9,451,96,1648,208,222,151,1298,7,38,3,w3
80,3440,329,13,841,101,1521,189,225,175,1585,7,38,3,w3
81,2571,319,4,277,18,1434,208,235,166,1579,5,2,3,w3
82,2581,35,11,180,9,1712,219,215,130,1885,6,11,3,w3
83,3139,39,16,95,2,1630,219,202,113,150,1,23,1,w1
84,2823,104,20,573,191,2608,249,210,80,1940,3,10,3,w3
85,3355,315,2,390,33,815,213,237,162,2040,7,32,3,w3
86,3162,311,4,0,0,1221,208,237,168,313,1,21,3,w3
87,2930,21,19,437,49,1848,205,197,124,3055,2,33,3,w3
88,3320,5,10,418,47,1978,207,220,150,1316,1,31,3,w3
89,3007,13,22,277,62,2964,193,189,127,1560,1,33,3,w3
90,3239,173,29,90,27,4055,223,239,126,3197,7,33,3,w3
91,3382,103,29,240,144,3946,253,188,40,3476,7,33,3,w3
92,3342,313,11,551,107,3234,191,232,180,3438,7,32,3,w3
93,3370,340,28,162,66,3466,150,188,170,2310,7,40,3,w3
94,3712,322,9,938,266,5463,198,232,173,3577,7,40,3,w3
95,3232,161,15,300,94,845,234,242,135,2400,2,22,1,w1
96,3262,328,24,484,64,1128,154,204,185,1588,1,33,2,w2
97,3025,244,6,297,94,2582,208,245,175,1253,2,34,3,w3
98,3255,196,21,295,102,1634,210,252,167,4175,1,32,2,w2
99,2533,54,6,90,2,2506,224,227,138,2431,6,17,3,w3
100,2410,222,11,0,0,1015,206,251,180,1173,6,16,3,w3
101,2392,87,20,95,46,470,245,202,77,895,6,4,3,w3
102,2448,57,12,0,0,1100,228,215,119,808,6,10,3,w3
103,2556,27,30,67,17,808,192,159,86,1279,6,10,3,w3
104,2521,257,28,450,78,450,143,243,230,1103,3,4,3,w3
105,2738,26,12,30,3,2761,214,214,134,5497,2,20,1,w1
106,2892,186,23,60,17,4310,217,249,153,1413,2,30,1,w1
107,3133,354,25,90,38,4651,169,187,149,1481,1,23,1,w1
108,2879,112,21,335,108,577,250,213,81,1269,5,30,1,w1
109,2601,310,22,90,49,1194,154,219,202,1465,6,33,3,w3
110,2712,112,21,0,0,270,250,213,81,510,5,30,1,w1
111,2118,1,20,42,15,408,187,198,144,361,6,10,4,w4
112,2207,331,22,277,167,319,164,207,180,811,3,10,4,w4
113,2152,136,31,85,52,859,250,209,62,212,4,3,4,w4
114,2873,283,20,511,225,1199,160,236,214,1430,2,32,3,w3
115,2252,115,26,218,112,1350,254,205,61,750,4,3,4,w4
116,2085,99,12,30,5,860,240,223,112,819,4,3,4,w4
117,2348,136,24,313,151,722,249,222,87,1608,4,3,4,w4
118,2284,117,29,124,56,446,254,198,49,1846,4,3,4,w4
119,2441,85,13,0,0,569,238,218,109,1307,4,5,4,w4
120,3490,62,17,534,56,2739,232,204,99,1871,1,40,1,w1
121,2650,79,16,108,27,2410,239,210,96,1110,2,10,3,w3
122,3244,30,15,150,39,3511,214,206,124,2250,1,31,3,w3
123,2943,84,31,342,199,1996,246,172,32,661,5,13,3,w3
124,3346,72,8,350,24,997,230,224,127,2616,7,31,3,w3
125,2714,334,10,277,19,1301,197,227,169,2041,5,17,3,w3
126,3382,188,13,782,133,4358,220,249,160,2407,7,38,3,w3
127,3065,337,10,30,6,552,199,227,167,1396,1,23,1,w1
128,2460,52,8,0,0,1406,225,222,131,690,6,4,3,w3
129,2686,57,11,30,3,2621,228,216,120,6703,2,29,1,w1
130,2545,340,15,0,0,960,186,216,168,6524,2,16,1,w1
131,2696,95,30,134,72,2730,251,180,35,6571,2,30,1,w1
